765;337;1
956;337;0
1004;337;1
1052;337;0
1100;337;1
1148;337;0
1052;145;1
3685;337;0
3733;337;1
3781;337;0
3829;145;0
3877;145;0
3925;145;0
3973;145;0
4021;145;0
4069;145;0
4117;145;0
4165;145;0
4356;145;0
4404;145;0
4452;145;0
4500;145;1
4500;337;0
4786;337;0
4834;337;0
5074;337;1
5217;337;1
5361;337;1
5217;145;1
5648;337;0
5792;145;0
5840;145;0
5888;145;0
6127;145;0
6175;145;1
6223;145;1
6271;145;0
6175;337;0
6223;337;0
8042;337;0
8090;337;0
8138;337;1
8186;337;0
3259;337;2
4068;337;2
4116;337;2
6606;337;2
6654;337;2
7564;241;2
7563;433;2
7611;433;2
7659;433;2
7707;433;2
7755;433;2
